2025-09-25 02:59:07 | logger_config        | INFO     | _setup_logging :100  | ================================================================================
2025-09-25 02:59:07 | logger_config        | INFO     | _setup_logging :101  | AMANUENSIS LOGGING SYSTEM INITIALIZED
2025-09-25 02:59:07 | logger_config        | INFO     | _setup_logging :102  | Main log file: logs\amanuensis_20250925_025907.log
2025-09-25 02:59:07 | logger_config        | INFO     | _setup_logging :103  | Error log file: logs\amanuensis_errors_20250925_025907.log
2025-09-25 02:59:07 | logger_config        | INFO     | _setup_logging :104  | Audio log file: logs\amanuensis_audio_20250925_025907.log
2025-09-25 02:59:07 | logger_config        | INFO     | _setup_logging :105  | ================================================================================
2025-09-25 02:59:07 | transcription_config | INFO     | get_device_config:118  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:59:07 | health_monitor       | INFO     | __init__       :92   | Transcription Health Monitor initialized
2025-09-25 02:59:07 | health_monitor       | INFO     | start_monitoring:120  | Health monitoring started
2025-09-25 02:59:07 | enhanced_whisper     | INFO     | __init__       :217  | Enhanced Whisper Manager initialized: model=small, device=cuda
2025-09-25 02:59:07 | whisper_model_manager | INFO     | __init__       :367  | WhisperModelManager initialized with models dir: G:\Projects\Amanuensis\whisper_models
2025-09-25 02:59:07 | transcription_config | INFO     | get_device_config:118  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:59:07 | whisper_model_manager | DEBUG    | is_model_installed:383  | Checking if model 'small' is installed (using cpu)
2025-09-25 02:59:08 | whisper_model_manager | DEBUG    | is_model_installed:396  | Model small is installed and ready for use on cuda
