2025-09-25 01:40:01 | audio_transcription_bridge | WARNING  | __init__       :60   | AudioManager doesn't support audio data callbacks
2025-09-25 01:40:08 | session_recorder     | WARNING  | start_recording:663  | Device preflight failed: WASAPI loopback — falling back.
2025-09-25 01:40:08 | session_recorder     | WARNING  | start_recording:663  | Device preflight failed: Stereo Mix (Device: Stereo Mix (Realtek HD Audio Stereo input)) — falling back.
2025-09-25 01:40:08 | audio_transcription_bridge | WARNING  | start_streaming:99   | Whisper model not loaded. Attempting to load...
2025-09-25 01:40:14 | enhanced_whisper     | ERROR    | load_model     :181  | Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmpk6ha_31u.wav'
2025-09-25 01:40:14 | health_monitor       | ERROR    | report_error   :234  | [model_load] Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmpk6ha_31u.wav'
2025-09-25 01:40:14 | audio_transcription_bridge | ERROR    | start_streaming:109  | Error loading Whisper model: Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmpk6ha_31u.wav'
2025-09-25 01:40:14 | session_recorder     | WARNING  | start_recording:747  | Failed to start transcription bridge
2025-09-25 01:40:19 | enhanced_whisper     | ERROR    | load_model     :181  | Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmp5mls2c5r.wav'
2025-09-25 01:40:19 | health_monitor       | ERROR    | report_error   :234  | [model_load] Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmp5mls2c5r.wav'
2025-09-25 01:40:19 | session_recorder     | WARNING  | start_recording:760  | Direct whisper start failed: Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmp5mls2c5r.wav'
2025-09-25 01:45:06 | session_storage      | ERROR    | save_full_session_audio:222  | Error saving session audio: dtype must be one of ['float32', 'float64', 'int16', 'int32'] and not 'bytes32768'
2025-09-25 01:45:10 | session_recorder     | WARNING  | start_recording:663  | Device preflight failed: WASAPI loopback — falling back.
2025-09-25 01:45:10 | session_recorder     | WARNING  | start_recording:663  | Device preflight failed: Stereo Mix (Device: Stereo Mix (Realtek HD Audio Stereo input)) — falling back.
2025-09-25 01:45:10 | audio_transcription_bridge | WARNING  | start_streaming:99   | Whisper model not loaded. Attempting to load...
2025-09-25 01:45:15 | enhanced_whisper     | ERROR    | load_model     :181  | Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmpxg1gl016.wav'
2025-09-25 01:45:15 | health_monitor       | ERROR    | report_error   :234  | [model_load] Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmpxg1gl016.wav'
2025-09-25 01:45:15 | audio_transcription_bridge | ERROR    | start_streaming:109  | Error loading Whisper model: Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmpxg1gl016.wav'
2025-09-25 01:45:15 | session_recorder     | WARNING  | start_recording:747  | Failed to start transcription bridge
2025-09-25 01:45:19 | enhanced_whisper     | ERROR    | load_model     :181  | Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmpxm6av0oa.wav'
2025-09-25 01:45:19 | health_monitor       | ERROR    | report_error   :234  | [model_load] Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmpxm6av0oa.wav'
2025-09-25 01:45:19 | session_recorder     | WARNING  | start_recording:760  | Direct whisper start failed: Failed to load model: Model test failed: [WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\nicol\\AppData\\Local\\Temp\\tmpxm6av0oa.wav'
