2025-09-24 18:12:35 | logger_config        | INFO     | _setup_logging :100  | ================================================================================
2025-09-24 18:12:35 | logger_config        | INFO     | _setup_logging :101  | AMANUENSIS LOGGING SYSTEM INITIALIZED
2025-09-24 18:12:35 | logger_config        | INFO     | _setup_logging :102  | Main log file: logs\amanuensis_20250924_181235.log
2025-09-24 18:12:35 | logger_config        | INFO     | _setup_logging :103  | Error log file: logs\amanuensis_errors_20250924_181235.log
2025-09-24 18:12:35 | logger_config        | INFO     | _setup_logging :104  | Audio log file: logs\amanuensis_audio_20250924_181235.log
2025-09-24 18:12:35 | logger_config        | INFO     | _setup_logging :105  | ================================================================================
2025-09-24 18:12:35 | test                 | INFO     | <module>       :6    | Testing logging system...
2025-09-24 18:12:35 | test                 | DEBUG    | <module>       :7    | Debug message
2025-09-24 18:12:35 | test                 | WARNING  | <module>       :8    | Warning message
2025-09-24 18:12:35 | test                 | ERROR    | <module>       :9    | Error message
2025-09-24 18:12:35 | test                 | INFO     | log_performance:164  | PERFORMANCE: test operation took 0.101s
2025-09-24 18:12:35 | test                 | ERROR    | log_exception  :155  | EXCEPTION in testing: ValueError: Test exception
2025-09-24 18:12:35 | test                 | ERROR    | log_exception  :156  | FULL TRACEBACK:
2025-09-24 18:12:35 | test                 | ERROR    | log_exception  :158  |   Traceback (most recent call last):
2025-09-24 18:12:35 | test                 | ERROR    | log_exception  :158  |     File "<string>", line 19, in <module>
2025-09-24 18:12:35 | test                 | ERROR    | log_exception  :158  |   ValueError: Test exception
2025-09-24 18:12:43 | logger_config        | INFO     | _setup_logging :100  | ================================================================================
2025-09-24 18:12:43 | logger_config        | INFO     | _setup_logging :101  | AMANUENSIS LOGGING SYSTEM INITIALIZED
2025-09-24 18:12:43 | logger_config        | INFO     | _setup_logging :102  | Main log file: logs\amanuensis_20250924_181243.log
2025-09-24 18:12:43 | logger_config        | INFO     | _setup_logging :103  | Error log file: logs\amanuensis_errors_20250924_181243.log
2025-09-24 18:12:43 | logger_config        | INFO     | _setup_logging :104  | Audio log file: logs\amanuensis_audio_20250924_181243.log
2025-09-24 18:12:43 | logger_config        | INFO     | _setup_logging :105  | ================================================================================
2025-09-24 18:12:45 | main                 | INFO     | main           :435  | ============================================================
2025-09-24 18:12:45 | main                 | INFO     | main           :436  | AMANUENSIS MAIN ENTRY POINT
2025-09-24 18:12:45 | main                 | INFO     | main           :437  | Therapy Session Assistant - Three-Window Architecture
2025-09-24 18:12:45 | main                 | INFO     | main           :438  | ============================================================
2025-09-24 18:12:45 | main                 | DEBUG    | main           :441  | Checking dependencies...
2025-09-24 18:12:45 | main                 | INFO     | main           :448  | All dependencies satisfied
2025-09-24 18:12:45 | main                 | DEBUG    | main           :451  | Setting CustomTkinter appearance...
2025-09-24 18:12:45 | main                 | INFO     | main           :456  | Starting Amanuensis application...
2025-09-24 18:12:45 | amanuensis_main      | INFO     | __init__       :31   | ============================================================
2025-09-24 18:12:45 | amanuensis_main      | INFO     | __init__       :32   | AMANUENSIS APPLICATION STARTING
2025-09-24 18:12:45 | amanuensis_main      | INFO     | __init__       :33   | ============================================================
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:138  | SYSTEM INFORMATION:
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:139  | Python version: 3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:140  | Platform: win32
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:141  | Working directory: G:\Projects\Amanuensis
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:142  | Script path: amanuensis_new.py
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:148  | ENV PATH: C:\Users\nicol\bin;C:\Program Files\Git\mingw64\bin;C:\Program Files\Git\usr\local\bin;C:\Program Files\Git\usr\bin;C:\Program Files\Git\usr\bin;C:\Program Files\Git\mingw64\bin;C:\Program Files\Git\usr\bin;C:\Users\nicol\bin;C:\Program Files\PowerShell\7;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.8\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.8\libnvvp;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0;C:\WINDOWS\System32\OpenSSH;C:\Program Files\NVIDIA Corporation\NVIDIA App\NvDLISR;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\dotnet;C:\Program Files\Git\cmd;C:\Program Files\nodejs;C:\Program Files\PowerShell\7;C:\Program Files\Docker\Docker\resources\bin;C:\Program Files\PuTTY;C:\Program Files\cursor\resources\app\bin;C:\Program Files\NVIDIA Corporation\Nsight Compute 2025.1.1;C:\Users\nicol\AppData\Local\Programs\Python\Python310\Scripts;C:\Users\nicol\AppData\Local\Programs\Python\Python310;C:\Users\nicol\.cargo\bin;C:\Users\nicol\AppData\Local\Programs\Python\Python311\Scripts;C:\Users\nicol\AppData\Local\Programs\Python\Python311;C:\Users\nicol\AppData\Local\Microsoft\WindowsApps;C:\Users\nicol\AppData\Local\Programs\Windsurf\bin;C:\Users\nicol\AppData\Roaming\npm;C:\Users\nicol\AppData\Local\Microsoft\WinGet\Links;C:\Program Files\Git\usr\bin\vendor_perl;C:\Program Files\Git\usr\bin\core_perl
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:148  | ENV PYTHONPATH: Not set
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:148  | ENV HOME: C:\Users\nicol
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:148  | ENV USER: Not set
2025-09-24 18:12:45 | system_info          | INFO     | log_system_info:148  | ENV USERNAME: nicol
2025-09-24 18:12:45 | amanuensis_main      | INFO     | __init__       :54   | Starting application initialization...
